Size of array,Array Time
11,0.2000000E-5
12,0.3000000E-5
13,0.4000000E-5
14,0.5000000E-5
15,0.6000000E-5
16,0.7000000E-5
17,0.7000000E-5
18,0.8000000E-5
19,0.9000000E-5
20,0.1000000E-4
21,0.1100000E-4
22,0.1100000E-4
23,0.1100000E-4
24,0.1100000E-4
25,0.1200000E-4
26,0.1400000E-4
27,0.1500000E-4
28,0.1600000E-4
29,0.1700000E-4
30,0.1800000E-4
31,0.1900000E-4
32,0.2000000E-4
33,0.2000000E-4
34,0.2000000E-4
35,0.2000000E-4
36,0.2000000E-4
37,0.2100000E-4
38,0.2200000E-4
39,0.2300000E-4
40,0.2400000E-4
41,0.2400000E-4
42,0.2500000E-4
43,0.2500000E-4
44,0.2500000E-4
45,0.2500000E-4
46,0.2600000E-4
47,0.2700000E-4
48,0.2800000E-4
49,0.2900000E-4
50,0.3000000E-4
51,0.3000000E-4
52,0.3100000E-4
53,0.3100000E-4
54,0.3200000E-4
55,0.3300000E-4
56,0.3400000E-4
57,0.3500000E-4
58,0.3600000E-4
59,0.3600000E-4
60,0.3700000E-4
61,0.3700000E-4
62,0.3800000E-4
63,0.3900000E-4
64,0.4000000E-4
65,0.4100000E-4
66,0.4100000E-4
67,0.4200000E-4
68,0.4400000E-4
69,0.4500000E-4
70,0.4600000E-4
71,0.4600000E-4
72,0.4600000E-4
73,0.4700000E-4
74,0.4900000E-4
75,0.5000000E-4
76,0.5100000E-4
77,0.5100000E-4
78,0.5100000E-4
79,0.5200000E-4
80,0.5300000E-4
81,0.5400000E-4
82,0.5500000E-4
83,0.5500000E-4
84,0.5500000E-4
85,0.5500000E-4
86,0.5600000E-4
87,0.5700000E-4
88,0.5900000E-4
89,0.6000000E-4
90,0.6100000E-4
91,0.6100000E-4
92,0.6200000E-4
93,0.7600000E-4
94,0.7600000E-4
95,0.7700000E-4
96,0.7800000E-4
97,0.7900000E-4
98,0.8000000E-4
99,0.8100000E-4
100,0.8200000E-4
101,0.8300000E-4
102,0.8400000E-4
103,0.8500000E-4
104,0.8600000E-4
105,0.8600000E-4
106,0.8700000E-4
107,0.8800000E-4
108,0.9000000E-4
109,0.9100000E-4
110,0.9200000E-4
111,0.9200000E-4
112,0.9400000E-4
113,0.9500000E-4
114,0.9500000E-4
115,0.9600000E-4
116,0.9900000E-4
117,0.1000000E-3
118,0.1010000E-3
119,0.1020000E-3
120,0.1030000E-3
121,0.1040000E-3
122,0.1050000E-3
123,0.1050000E-3
124,0.1050000E-3
125,0.1060000E-3
126,0.1080000E-3
127,0.1090000E-3
128,0.1110000E-3
129,0.1120000E-3
130,0.1130000E-3
131,0.1140000E-3
132,0.1150000E-3
133,0.1160000E-3
134,0.1170000E-3
135,0.1180000E-3
136,0.1180000E-3
137,0.1180000E-3
138,0.1180000E-3
139,0.1180000E-3
140,0.1190000E-3
141,0.1200000E-3
142,0.1210000E-3
143,0.1220000E-3
144,0.1230000E-3
145,0.1240000E-3
146,0.1250000E-3
147,0.1250000E-3
148,0.1390000E-3
149,0.1400000E-3
150,0.1410000E-3
151,0.1420000E-3
152,0.1430000E-3
153,0.1440000E-3
154,0.1450000E-3
155,0.1460000E-3
156,0.1470000E-3
157,0.1480000E-3
158,0.1490000E-3
159,0.1500000E-3
160,0.1510000E-3
161,0.1520000E-3
162,0.1530000E-3
163,0.1540000E-3
164,0.1550000E-3
165,0.1560000E-3
166,0.1570000E-3
167,0.1580000E-3
168,0.1590000E-3
169,0.1600000E-3
170,0.1640000E-3
171,0.1650000E-3
172,0.1660000E-3
173,0.1670000E-3
174,0.1680000E-3
175,0.1690000E-3
176,0.1700000E-3
177,0.1710000E-3
178,0.1710000E-3
179,0.1720000E-3
180,0.1730000E-3
181,0.1740000E-3
182,0.1750000E-3
183,0.1760000E-3
184,0.1770000E-3
185,0.1780000E-3
186,0.1790000E-3
187,0.1800000E-3
188,0.1810000E-3
189,0.1820000E-3
190,0.1830000E-3
191,0.1840000E-3
192,0.1850000E-3
193,0.1860000E-3
194,0.1870000E-3
195,0.1880000E-3
196,0.1890000E-3
197,0.1900000E-3
198,0.1910000E-3
199,0.1920000E-3
200,0.1930000E-3
201,0.1940000E-3
202,0.1950000E-3
203,0.1960000E-3
204,0.1960000E-3
205,0.1970000E-3
206,0.1980000E-3
207,0.1980000E-3
208,0.1990000E-3
209,0.2000000E-3
210,0.2010000E-3
211,0.2020000E-3
212,0.2030000E-3
213,0.2030000E-3
214,0.2040000E-3
215,0.2050000E-3
216,0.2060000E-3
217,0.2070000E-3
218,0.2080000E-3
219,0.2090000E-3
220,0.2100000E-3
221,0.2110000E-3
222,0.2120000E-3
223,0.2130000E-3
224,0.2140000E-3
225,0.2150000E-3
226,0.2160000E-3
227,0.2170000E-3
228,0.2180000E-3
229,0.2190000E-3
230,0.2330000E-3
231,0.2340000E-3
232,0.2350000E-3
233,0.2350000E-3
234,0.2350000E-3
235,0.2360000E-3
236,0.2370000E-3
237,0.2370000E-3
238,0.2380000E-3
239,0.2390000E-3
240,0.2400000E-3
241,0.2410000E-3
242,0.2420000E-3
243,0.2430000E-3
244,0.2440000E-3
245,0.2450000E-3
246,0.2460000E-3
247,0.2610000E-3
248,0.2620000E-3
249,0.2630000E-3
250,0.2640000E-3
251,0.2650000E-3
252,0.2660000E-3
253,0.2670000E-3
254,0.2680000E-3
255,0.2700000E-3
256,0.2710000E-3
257,0.2720000E-3
258,0.2760000E-3
259,0.2770000E-3
260,0.2780000E-3
261,0.2790000E-3
262,0.2800000E-3
263,0.2810000E-3
264,0.2820000E-3
265,0.2830000E-3
266,0.2840000E-3
267,0.2850000E-3
268,0.2850000E-3
269,0.2860000E-3
270,0.2870000E-3
271,0.2880000E-3
272,0.2890000E-3
273,0.2910000E-3
274,0.2920000E-3
275,0.2930000E-3
276,0.2940000E-3
277,0.2950000E-3
278,0.2960000E-3
279,0.2970000E-3
280,0.2980000E-3
281,0.2990000E-3
282,0.3000000E-3
283,0.3010000E-3
284,0.3020000E-3
285,0.3030000E-3
286,0.3040000E-3
287,0.3050000E-3
288,0.3200000E-3
289,0.3220000E-3
290,0.3230000E-3
291,0.3240000E-3
292,0.3250000E-3
293,0.3260000E-3
294,0.3270000E-3
295,0.3280000E-3
296,0.3290000E-3
297,0.3300000E-3
298,0.3310000E-3
299,0.3320000E-3
300,0.3330000E-3
301,0.3340000E-3
302,0.3350000E-3
303,0.3350000E-3
304,0.3360000E-3
305,0.3370000E-3
306,0.3380000E-3
307,0.3390000E-3
308,0.3400000E-3
309,0.3410000E-3
310,0.3420000E-3
311,0.3430000E-3
312,0.3430000E-3
313,0.3440000E-3
314,0.3450000E-3
315,0.3460000E-3
316,0.3470000E-3
317,0.3480000E-3
318,0.3490000E-3
319,0.3500000E-3
320,0.3510000E-3
321,0.3520000E-3
322,0.3530000E-3
323,0.3540000E-3
324,0.3550000E-3
325,0.3550000E-3
326,0.3560000E-3
327,0.3570000E-3
328,0.3580000E-3
329,0.3590000E-3
330,0.3600000E-3
331,0.3610000E-3
332,0.3610000E-3
333,0.3620000E-3
334,0.3630000E-3
335,0.3640000E-3
336,0.3650000E-3
337,0.3660000E-3
338,0.3670000E-3
339,0.3670000E-3
340,0.3730000E-3
341,0.3740000E-3
342,0.3750000E-3
343,0.3760000E-3
344,0.3770000E-3
345,0.3780000E-3
346,0.3780000E-3
347,0.3790000E-3
348,0.3800000E-3
349,0.3810000E-3
350,0.3820000E-3
351,0.3830000E-3
352,0.3840000E-3
353,0.3850000E-3
354,0.3860000E-3
355,0.3870000E-3
356,0.3870000E-3
357,0.3880000E-3
358,0.3890000E-3
359,0.3900000E-3
360,0.3910000E-3
361,0.3920000E-3
362,0.3930000E-3
363,0.3940000E-3
364,0.3950000E-3
365,0.3960000E-3
366,0.3970000E-3
367,0.3980000E-3
368,0.3990000E-3
369,0.4000000E-3
370,0.4010000E-3
371,0.4010000E-3
372,0.4020000E-3
373,0.4030000E-3
374,0.4040000E-3
375,0.4050000E-3
376,0.4060000E-3
377,0.4070000E-3
378,0.4080000E-3
379,0.4090000E-3
380,0.4100000E-3
381,0.4110000E-3
382,0.4120000E-3
383,0.4130000E-3
384,0.4140000E-3
385,0.4150000E-3
386,0.4160000E-3
387,0.4170000E-3
388,0.4180000E-3
389,0.4180000E-3
390,0.4190000E-3
391,0.4200000E-3
392,0.4210000E-3
393,0.4220000E-3
394,0.4230000E-3
395,0.4240000E-3
396,0.4250000E-3
397,0.4250000E-3
398,0.4260000E-3
399,0.4270000E-3
400,0.4280000E-3
401,0.4290000E-3
402,0.4290000E-3
403,0.4300000E-3
404,0.4310000E-3
405,0.4320000E-3
406,0.4330000E-3
407,0.4340000E-3
408,0.4350000E-3
409,0.4360000E-3
410,0.4370000E-3
411,0.4370000E-3
412,0.4380000E-3
413,0.4390000E-3
414,0.4400000E-3
415,0.4410000E-3
416,0.4420000E-3
417,0.4430000E-3
418,0.4440000E-3
419,0.4450000E-3
420,0.4460000E-3
421,0.4470000E-3
422,0.4480000E-3
423,0.4490000E-3
424,0.4500000E-3
425,0.4510000E-3
426,0.4520000E-3
427,0.4530000E-3
428,0.4540000E-3
429,0.4550000E-3
430,0.4560000E-3
431,0.4570000E-3
432,0.4580000E-3
433,0.4590000E-3
434,0.4600000E-3
435,0.4610000E-3
436,0.4630000E-3
437,0.4640000E-3
438,0.4650000E-3
439,0.4660000E-3
440,0.4670000E-3
441,0.4680000E-3
442,0.4690000E-3
443,0.4700000E-3
444,0.4710000E-3
445,0.4720000E-3
446,0.4730000E-3
447,0.4740000E-3
448,0.4750000E-3
449,0.4760000E-3
450,0.4770000E-3
451,0.4780000E-3
452,0.4790000E-3
453,0.4800000E-3
454,0.4820000E-3
455,0.4830000E-3
456,0.4840000E-3
457,0.4850000E-3
458,0.4860000E-3
459,0.4870000E-3
460,0.4880000E-3
461,0.4890000E-3
462,0.4900000E-3
463,0.4910000E-3
464,0.4930000E-3
465,0.4940000E-3
466,0.4950000E-3
467,0.4970000E-3
468,0.4980000E-3
469,0.4990000E-3
470,0.5000000E-3
471,0.5010000E-3
472,0.5020000E-3
473,0.5030000E-3
474,0.5040000E-3
475,0.5050000E-3
476,0.5060000E-3
477,0.5070000E-3
478,0.5080000E-3
479,0.5090000E-3
480,0.5110000E-3
481,0.5120000E-3
482,0.5130000E-3
483,0.5140000E-3
484,0.5150000E-3
485,0.5160000E-3
486,0.5170000E-3
487,0.5180000E-3
488,0.5190000E-3
489,0.5200000E-3
490,0.5210000E-3
491,0.5220000E-3
492,0.5230000E-3
493,0.5240000E-3
494,0.5260000E-3
495,0.5270000E-3
496,0.5280000E-3
497,0.5290000E-3
498,0.5300000E-3
499,0.5320000E-3
500,0.5330000E-3
501,0.5340000E-3
502,0.5350000E-3
503,0.5360000E-3
504,0.5500000E-3
505,0.5510000E-3
506,0.5520000E-3
507,0.5530000E-3
508,0.5540000E-3
509,0.5560000E-3
510,0.5590000E-3
511,0.5600000E-3
512,0.5610000E-3
513,0.5620000E-3
514,0.5630000E-3
515,0.5640000E-3
516,0.5650000E-3
517,0.5660000E-3
518,0.5670000E-3
519,0.5680000E-3
520,0.5700000E-3
521,0.5710000E-3
522,0.5720000E-3
523,0.5730000E-3
524,0.5740000E-3
525,0.5750000E-3
526,0.5760000E-3
527,0.5770000E-3
528,0.5780000E-3
529,0.5790000E-3
530,0.5800000E-3
531,0.5810000E-3
532,0.5820000E-3
533,0.5840000E-3
534,0.5850000E-3
535,0.5860000E-3
536,0.5870000E-3
537,0.5880000E-3
538,0.5890000E-3
539,0.5900000E-3
540,0.5910000E-3
541,0.5920000E-3
542,0.5930000E-3
543,0.5940000E-3
544,0.5960000E-3
545,0.5970000E-3
546,0.5980000E-3
547,0.6000000E-3
548,0.6010000E-3
549,0.6020000E-3
550,0.6040000E-3
551,0.6050000E-3
552,0.6060000E-3
553,0.6080000E-3
554,0.6090000E-3
555,0.6100000E-3
556,0.6120000E-3
557,0.6130000E-3
558,0.6140000E-3
559,0.6150000E-3
560,0.6160000E-3
561,0.6170000E-3
562,0.6180000E-3
563,0.6190000E-3
564,0.6200000E-3
565,0.6210000E-3
566,0.6220000E-3
567,0.6230000E-3
568,0.6240000E-3
569,0.6250000E-3
570,0.6270000E-3
571,0.6280000E-3
572,0.6290000E-3
573,0.6300000E-3
574,0.6310000E-3
575,0.6330000E-3
576,0.6340000E-3
577,0.6350000E-3
578,0.6360000E-3
579,0.6370000E-3
580,0.6380000E-3
581,0.6390000E-3
582,0.6400000E-3
583,0.6410000E-3
584,0.6420000E-3
585,0.6430000E-3
586,0.6440000E-3
587,0.6450000E-3
588,0.6460000E-3
589,0.6470000E-3
590,0.6480000E-3
591,0.6490000E-3
592,0.6500000E-3
593,0.6510000E-3
594,0.6520000E-3
595,0.6530000E-3
596,0.6540000E-3
597,0.6550000E-3
598,0.6560000E-3
599,0.6570000E-3
600,0.6590000E-3
601,0.6600000E-3
602,0.6610000E-3
603,0.6620000E-3
604,0.6630000E-3
605,0.6650000E-3
606,0.6660000E-3
607,0.6680000E-3
608,0.6690000E-3
609,0.6700000E-3
610,0.6710000E-3
611,0.6720000E-3
612,0.6740000E-3
613,0.6750000E-3
614,0.6760000E-3
615,0.6770000E-3
616,0.6780000E-3
617,0.6800000E-3
618,0.6810000E-3
619,0.6830000E-3
620,0.6840000E-3
621,0.6850000E-3
622,0.6860000E-3
623,0.6870000E-3
624,0.6890000E-3
625,0.6900000E-3
626,0.6920000E-3
627,0.6930000E-3
628,0.6940000E-3
629,0.6960000E-3
630,0.6970000E-3
631,0.6980000E-3
632,0.6990000E-3
633,0.7000000E-3
634,0.7010000E-3
635,0.7020000E-3
636,0.7040000E-3
637,0.7050000E-3
638,0.7070000E-3
639,0.7080000E-3
640,0.7100000E-3
641,0.7110000E-3
642,0.7120000E-3
643,0.7130000E-3
644,0.7140000E-3
645,0.7160000E-3
646,0.7170000E-3
647,0.7190000E-3
648,0.7200000E-3
649,0.7220000E-3
650,0.7230000E-3
651,0.7250000E-3
652,0.7260000E-3
653,0.7270000E-3
654,0.7280000E-3
655,0.7290000E-3
656,0.7300000E-3
657,0.7310000E-3
658,0.7330000E-3
659,0.7340000E-3
660,0.7360000E-3
661,0.7370000E-3
662,0.7390000E-3
663,0.7400000E-3
664,0.7410000E-3
665,0.7420000E-3
666,0.7430000E-3
667,0.7450000E-3
668,0.7460000E-3
669,0.7480000E-3
670,0.7490000E-3
671,0.7510000E-3
672,0.7520000E-3
673,0.7540000E-3
674,0.7550000E-3
675,0.7570000E-3
676,0.7580000E-3
677,0.7600000E-3
678,0.7610000E-3
679,0.7630000E-3
680,0.7640000E-3
681,0.7650000E-3
682,0.7710000E-3
683,0.7770000E-3
684,0.7780000E-3
685,0.7800000E-3
686,0.7810000E-3
687,0.7830000E-3
688,0.7840000E-3
689,0.7850000E-3
690,0.7860000E-3
691,0.7870000E-3
692,0.7880000E-3
693,0.7890000E-3
694,0.7900000E-3
695,0.7910000E-3
696,0.7920000E-3
697,0.7930000E-3
698,0.7950000E-3
699,0.7960000E-3
700,0.7980000E-3
701,0.7990000E-3
702,0.8010000E-3
703,0.8020000E-3
704,0.8040000E-3
705,0.8050000E-3
706,0.8070000E-3
707,0.8080000E-3
708,0.8100000E-3
709,0.8110000E-3
710,0.8130000E-3
711,0.8140000E-3
712,0.8160000E-3
713,0.8170000E-3
714,0.8190000E-3
715,0.8200000E-3
716,0.8210000E-3
717,0.8220000E-3
718,0.8230000E-3
719,0.8240000E-3
720,0.8250000E-3
721,0.8260000E-3
722,0.8270000E-3
723,0.8280000E-3
724,0.8290000E-3
725,0.8310000E-3
726,0.8320000E-3
727,0.8340000E-3
728,0.8350000E-3
729,0.8370000E-3
730,0.8380000E-3
731,0.8400000E-3
732,0.8410000E-3
733,0.8420000E-3
734,0.8430000E-3
735,0.8440000E-3
736,0.8460000E-3
737,0.8470000E-3
738,0.8480000E-3
739,0.8500000E-3
740,0.8520000E-3
741,0.8660000E-3
742,0.8680000E-3
743,0.8700000E-3
744,0.8720000E-3
745,0.8730000E-3
746,0.8750000E-3
747,0.8760000E-3
748,0.8770000E-3
749,0.8790000E-3
750,0.8800000E-3
751,0.8810000E-3
752,0.8830000E-3
753,0.8840000E-3
754,0.8850000E-3
755,0.8870000E-3
756,0.8880000E-3
757,0.8890000E-3
758,0.8910000E-3
759,0.8920000E-3
760,0.8940000E-3
761,0.8960000E-3
762,0.8970000E-3
763,0.8990000E-3
764,0.9010000E-3
765,0.9020000E-3
766,0.9040000E-3
767,0.9190000E-3
768,0.9210000E-3
769,0.9230000E-3
770,0.9240000E-3
771,0.9250000E-3
772,0.9270000E-3
773,0.9290000E-3
774,0.9300000E-3
775,0.9310000E-3
776,0.9320000E-3
777,0.9340000E-3
778,0.9360000E-3
779,0.9380000E-3
780,0.9400000E-3
781,0.9410000E-3
782,0.9430000E-3
783,0.9450000E-3
784,0.9470000E-3
785,0.9490000E-3
786,0.9500000E-3
787,0.9510000E-3
788,0.9520000E-3
789,0.9540000E-3
790,0.9560000E-3
791,0.9580000E-3
792,0.9590000E-3
793,0.9600000E-3
794,0.9610000E-3
795,0.9630000E-3
796,0.9650000E-3
797,0.9670000E-3
798,0.9690000E-3
799,0.9700000E-3
800,0.9710000E-3
801,0.9730000E-3
802,0.9750000E-3
803,0.9770000E-3
804,0.9780000E-3
805,0.9790000E-3
806,0.9800000E-3
807,0.9810000E-3
808,0.9830000E-3
809,0.9850000E-3
810,0.9870000E-3
811,0.9890000E-3
812,0.9910000E-3
813,0.9920000E-3
814,0.9930000E-3
815,0.1014000E-2
816,0.1016000E-2
817,0.1018000E-2
818,0.1020000E-2
819,0.1021000E-2
820,0.1022000E-2
821,0.1024000E-2
822,0.1033000E-2
823,0.1035000E-2
824,0.1037000E-2
825,0.1039000E-2
826,0.1041000E-2
827,0.1043000E-2
828,0.1045000E-2
829,0.1047000E-2
830,0.1049000E-2
831,0.1050000E-2
832,0.1064000E-2
833,0.1066000E-2
834,0.1067000E-2
835,0.1068000E-2
836,0.1069000E-2
837,0.1070000E-2
838,0.1071000E-2
839,0.1072000E-2
840,0.1073000E-2
841,0.1074000E-2
842,0.1091000E-2
843,0.1093000E-2
844,0.1095000E-2
845,0.1097000E-2
846,0.1099000E-2
847,0.1101000E-2
848,0.1103000E-2
849,0.1105000E-2
850,0.1106000E-2
851,0.1108000E-2
852,0.1113000E-2
853,0.1115000E-2
854,0.1117000E-2
855,0.1133000E-2
856,0.1135000E-2
857,0.1137000E-2
858,0.1139000E-2
859,0.1142000E-2
860,0.1145000E-2
861,0.1148000E-2
862,0.1150000E-2
863,0.1152000E-2
864,0.1155000E-2
865,0.1157000E-2
866,0.1172000E-2
867,0.1174000E-2
868,0.1189000E-2
869,0.1191000E-2
870,0.1193000E-2
871,0.1195000E-2
872,0.1198000E-2
873,0.1199000E-2
874,0.1200000E-2
875,0.1201000E-2
876,0.1202000E-2
877,0.1204000E-2
878,0.1206000E-2
879,0.1208000E-2
880,0.1210000E-2
881,0.1230000E-2
882,0.1232000E-2
883,0.1234000E-2
884,0.1236000E-2
885,0.1238000E-2
886,0.1240000E-2
887,0.1242000E-2
888,0.1244000E-2
889,0.1246000E-2
890,0.1247000E-2
891,0.1249000E-2
892,0.1263000E-2
893,0.1265000E-2
894,0.1266000E-2
895,0.1267000E-2
896,0.1268000E-2
897,0.1269000E-2
898,0.1271000E-2
899,0.1273000E-2
900,0.1275000E-2
901,0.1277000E-2
902,0.1279000E-2
903,0.1281000E-2
904,0.1282000E-2
905,0.1283000E-2
906,0.1284000E-2
907,0.1285000E-2
908,0.1287000E-2
909,0.1289000E-2
910,0.1291000E-2
911,0.1293000E-2
912,0.1295000E-2
913,0.1297000E-2
914,0.1299000E-2
915,0.1300000E-2
916,0.1301000E-2
917,0.1302000E-2
918,0.1304000E-2
919,0.1305000E-2
920,0.1306000E-2
921,0.1308000E-2
922,0.1310000E-2
923,0.1312000E-2
924,0.1314000E-2
925,0.1316000E-2
926,0.1318000E-2
927,0.1320000E-2
928,0.1322000E-2
929,0.1324000E-2
930,0.1326000E-2
931,0.1327000E-2
932,0.1328000E-2
933,0.1329000E-2
934,0.1331000E-2
935,0.1333000E-2
936,0.1335000E-2
937,0.1337000E-2
938,0.1339000E-2
939,0.1341000E-2
940,0.1343000E-2
941,0.1345000E-2
942,0.1347000E-2
943,0.1349000E-2
944,0.1351000E-2
945,0.1353000E-2
946,0.1355000E-2
947,0.1357000E-2
948,0.1359000E-2
949,0.1361000E-2
950,0.1363000E-2
951,0.1365000E-2
952,0.1366000E-2
953,0.1367000E-2
954,0.1368000E-2
955,0.1370000E-2
956,0.1372000E-2
957,0.1374000E-2
958,0.1376000E-2
959,0.1378000E-2
960,0.1380000E-2
961,0.1382000E-2
962,0.1384000E-2
963,0.1386000E-2
964,0.1388000E-2
965,0.1390000E-2
966,0.1391000E-2
967,0.1392000E-2
968,0.1393000E-2
969,0.1394000E-2
970,0.1396000E-2
971,0.1398000E-2
972,0.1400000E-2
973,0.1402000E-2
974,0.1404000E-2
975,0.1406000E-2
976,0.1408000E-2
977,0.1409000E-2
978,0.1411000E-2
979,0.1412000E-2
980,0.1413000E-2
981,0.1417000E-2
982,0.1420000E-2
983,0.1422000E-2
984,0.1424000E-2
985,0.1426000E-2
986,0.1428000E-2
987,0.1430000E-2
988,0.1432000E-2
989,0.1434000E-2
990,0.1436000E-2
991,0.1438000E-2
992,0.1440000E-2
993,0.1442000E-2
994,0.1444000E-2
995,0.1446000E-2
996,0.1448000E-2
997,0.1450000E-2
998,0.1452000E-2
999,0.1454000E-2
1000,0.1457000E-2
1001,0.1459000E-2
1002,0.1461000E-2
1003,0.1463000E-2
1004,0.1465000E-2
1005,0.1467000E-2
1006,0.1469000E-2
1007,0.1471000E-2
1008,0.1474000E-2
1009,0.1476000E-2
1010,0.1478000E-2
 ---
101,0.1000000E-5
102,0.2000000E-5
103,0.3000000E-5
104,0.4000000E-5
105,0.5000000E-5
106,0.6000000E-5
107,0.7000000E-5
108,0.7000000E-5
109,0.7000000E-5
110,0.8000000E-5
111,0.9000000E-5
112,0.1000000E-4
113,0.1100000E-4
114,0.1100000E-4
115,0.1100000E-4
116,0.1100000E-4
117,0.1200000E-4
118,0.1300000E-4
119,0.1400000E-4
120,0.1500000E-4
121,0.1500000E-4
122,0.1500000E-4
123,0.1500000E-4
124,0.1600000E-4
125,0.1700000E-4
126,0.1800000E-4
127,0.1900000E-4
128,0.1900000E-4
129,0.1900000E-4
130,0.2000000E-4
131,0.2100000E-4
132,0.2200000E-4
133,0.2300000E-4
134,0.2400000E-4
135,0.2500000E-4
136,0.2600000E-4
137,0.2700000E-4
138,0.2800000E-4
139,0.2900000E-4
140,0.3000000E-4
141,0.3100000E-4
142,0.3200000E-4
143,0.3300000E-4
144,0.3400000E-4
145,0.3500000E-4
146,0.3600000E-4
147,0.3700000E-4
